VIN,EVENTTIME,DATEHOUR,ODOMETERVALUE,FUELAMOUNT,AUTONOMYDISTANCE,DISTANCETOSERVICEVALUE
0009ed13859f3e4190a5,1662152433205,2022-09-02 18:00:33.205,9056,null,260,5944
0009ed13859f3e4190a5,1662152443244,2022-09-02 18:00:43.244,9056,null,260,5944
0009ed13859f3e4190a5,1662226384261,2022-09-03 14:33:04.261,9056,null,260,5944
0009ed13859f3e4190a5,1662241816369,2022-09-03 18:50:16.369,9056,null,260,5944
0009ed13859f3e4190a5,1662245354306,2022-09-03 19:49:14.306,9091,null,232,5909
0009ed13859f3e4190a5,1662246043344,2022-09-03 20:00:43.344,9091,null,232,5909
0009ed13859f3e4190a5,1662252987186,2022-09-03 21:56:27.186,9114,null,211,5886
0009ed13859f3e4190a5,1662258846485,2022-09-03 23:34:06.485,9128,null,194,5872
0009ed13859f3e4190a5,1662298166022,2022-09-04 10:29:26.022,9132,null,188,5868
0009ed13859f3e4190a5,1662299025077,2022-09-04 10:43:45.077,9136,null,184,5864
0009ed13859f3e4190a5,1662299731966,2022-09-04 10:55:31.966,9138,null,181,5862
0009ed13859f3e4190a5,1662301493909,2022-09-04 11:24:53.909,9141,null,177,5859
0009ed13859f3e4190a5,1662303422595,2022-09-04 11:57:02.595,9147,null,167,5853
0009ed13859f3e4190a5,1662303683530,2022-09-04 12:01:23.530,9147,null,167,5853
0009ed13859f3e4190a5,1662304485187,2022-09-04 12:14:45.187,9151,null,170,5849
0009ed13859f3e4190a5,1662308682862,2022-09-04 13:24:42.862,9152,null,170,5848
0009ed13859f3e4190a5,1662309653989,2022-09-04 13:40:53.989,9153,null,168,5847
0009ed13859f3e4190a5,1662327632873,2022-09-04 18:40:32.873,9195,null,167,5805
0009ed13859f3e4190a5,1662334168378,2022-09-04 20:29:28.378,9234,null,118,5766
0009ed13859f3e4190a5,1662334952441,2022-09-04 20:42:32.441,9238,null,110,5762
0009ed13859f3e4190a5,1662337963692,2022-09-04 21:32:43.692,9282,null,59,5718
0009ed13859f3e4190a5,1662338124810,2022-09-04 21:35:24.810,9282,null,58,5718
0009ed13859f3e4190a5,1662338246963,2022-09-04 21:37:26.963,9282,null,57,5718
0009ed13859f3e4190a5,1662338297796,2022-09-04 21:38:17.796,9282,null,57,5718
0009ed13859f3e4190a5,1662338591200,2022-09-04 21:43:11.200,9282,null,57,5718
0009ed13859f3e4190a5,1662338598887,2022-09-04 21:43:18.887,9282,null,57,5718
0009ed13859f3e4190a5,1662338606949,2022-09-04 21:43:26.949,9282,null,57,5718
0009ed13859f3e4190a5,1662341542841,2022-09-04 22:32:22.841,9282,null,58,5718
0009ed13859f3e4190a5,1662341611991,2022-09-04 22:33:31.991,9282,null,58,5718
0009ed13859f3e4190a5,1662341618789,2022-09-04 22:33:38.789,9282,null,58,5718
0009ed13859f3e4190a5,1662341887868,2022-09-04 22:38:07.868,9282,null,58,5718
0009ed13859f3e4190a5,1662341942115,2022-09-04 22:39:02.115,9282,null,58,5718
0009ed13859f3e4190a5,1662341955944,2022-09-04 22:39:15.944,9282,null,58,5718
0009ed13859f3e4190a5,1662341971914,2022-09-04 22:39:31.914,9282,null,58,5718
0009ed13859f3e4190a5,1662342011937,2022-09-04 22:40:11.937,9282,null,58,5718
0009ed13859f3e4190a5,1662342096973,2022-09-04 22:41:36.973,9283,null,58,5717
0009ed13859f3e4190a5,1662343801853,2022-09-04 23:10:01.853,9283,null,58,5717
